Timestamp,I confirm that I have read the information sheet version 2.0 for the above research project.,I confirm that I have understood the information sheet version 2.0 for the above research project and that I have had the opportunity to ask questions and that these have been answered satisfactorily.,"I understand that my participation is voluntary and I am free to withdraw at any time without giving a reason and without any adverse consequences (e.g. to medical care or legal rights, if relevant). I understand that if I withdraw, information about me that has already been obtained may be kept by Cardiff University.","I understand that data collected during the research project may be looked at by individuals from Cardiff University or from regulatory authorities, where it is relevant to my taking part in the research project.  I give permission for these individuals to have access to my data. ",I consent to the processing of my personal information for the purposes explained to me.  I understand that such information will be held in accordance with all applicable data protection legislation and in strict confidence unless disclosure is required by law or professional obligation. ,"I understand who will have access to personal information provided, how the data will be stored and what will happen to the data at the end of the research project.","I understand that after the research project, anonymised data may be made publicly available via a data repository and may be used for purposes not related to this research project. I understand that it will not be possible to identify me from this data that is seen and used by other researchers, for ethically approved research projects, on the understanding that confidentiality will be maintained.",I consent to being audio recorded/ video recorded/ having my photograph taken for the purposes of the research project and I understand how it will be used in the research.,I understand that anonymised excerpts and/or verbatim quotes from my QUESTIONNAIRE may be used as part of the research publication.,I understand how the findings and results of the research project will be written up and published.,I agree to take part in this research project.,"Which category below includes your age?
",What is your gender?,What is the highest degree or level of school you have completed?,Do you have any work experience in the mental health/medical domain (paid or voluntary) ?  ,"If you answered Yes to the previous question, please provide a brief statement of the mental health/medical work you are (or were) involved in?","In OCD, an Intrusive Thought, characterising an Obsession, is a Thought that is always associated with negative emotions (e.g. distress).

Example: A new mum has distressing thoughts about dropping her baby while carrying him, and causing him harm.

","In OCD,  an Intrusive Thought, characterising an Obsession, tend to frequently occupy a person's mind during her daily life.

Example: The mum experiences the distressing thoughts of dropping her baby many times during the day. ","In OCD, an Intrusive Thought, characterising an Obsession, will impact the person's normal activities (e.g. isolation from social circles, inability to work).  

Example: As a result of the distressing thoughts of dropping the baby, the mum refuses to carry her child.","In OCD, a negative or distressful Thought that is brief and does not impact the person's daily life, Is Not considered to be an Intrusive Thought characterising an Obsession.

Example: The mum briefly worries that her baby may choke whilst feeding him, but dismisses the thought and carries on feeding the baby as normal. ",Any other comments on Intrusive Thoughts,"In OCD, an Intrusive Mental Image, characterising an Obsession, is a type of Intrusive Thought that materialises as a visual image in the mind. 

Example: The mum gets frequent images in her mind of her baby on the floor crying with an injury to his head.","In OCD, an Intrusive Urge or Impulse, characterising an Obsession, is a frequent driving feeling to engage in a distressful behaviour, that affects daily living.

Example: The mum is frequently having an urge to drop her baby, and as a result decides to stay away from her baby.  ","In OCD, an urge/impulse to engage in a distressful behaviour, that does not affect daily life, Is Not considered to be an Intrusive urge/impulse characterising an Obsession,. 

Example: The mum worries briefly about her urge to drop her baby, but carries on as normal.  ",Any other comments on Intrusive Imag or Urge  ,"In OCD,  Obsession can be any of: Intrusive Thought, Intrusive Image or Intrusive Impulse/Urge that causes distress due to the added importance that the individual places on them.

Example: Frequent thoughts of harming the baby make the mum actually believe that she is capable of harming her. ",Any other Comments on Obsessions in OCD,"In OCD, an Aggressive Obsession is always an Aggressive Intrusive Thought or an Aggressive Intrusive Image or an Aggressive Intrusive Urge.  


","In OCD, Compulsions are some distressing behaviours that are provoked by certain obsessions, that have an impact on daily life and occupy a significant amount of person's time. 

Example: The mum's obsession of dropping her baby leads her to seek continuous reassurances from her partner.","In OCD, Compulsions can take the form of distressing mental activities that a person experiences, in response to certain obsessions. 

Example: The mum's obsession of dropping her baby leads her to keep counting numbers in her mind as a form of distraction.   ","In OCD, a Compulsion is a brief distressing Behaviour or Activities that will NOT have any significant effect on a person's life.  

Example: The mum being seeking reassurance from her partner due to the intrusive thought of harming her baby; meanwhile, she is carrying on with her regular activities as normal. 
",Any other comments on compulsions in OCD
30/01/2023 18:00:09,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,over 60,Female,"Bachelor's degree (e.g. BA, BS)",yes,Physiotherapy,Agree,Agree,Agree,Agree,An intrusive thought is an unwelcome thought that cannot be stopped,Agree,Agree,Agree,Am intrusive image is an image that is unwanted and cannot be avoided ,Not sure,Obsessions need to be frequent and uncontrollable ,Not sure,Agree,Agree,Not sure,Compulsions are uncontrollable and even if brief would most likely affect a persons life in some way. 
30/01/2023 19:31:08,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,18-24 years old,Female,"Bachelor's degree (e.g. BA, BS)",yes,It was a Summer internship where we mainly closely look ed at agile working and the effects on mental health. ,Not sure,Agree,Agree,Not sure,,Agree,Not sure,Disagree,,Not sure,,Disagree,Agree,Agree,Agree,
31/01/2023 04:21:14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,32-40 years old,Male,"Master's degree (e.g. MA, MS, MEd)",yes,I am a practising psychotherapist ,Disagree,Agree,Agree,Disagree,,Agree,Agree,Disagree,,Agree,,Disagree,Agree,Agree,Disagree,
31/01/2023 15:18:32,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,25-31 years old,Female,"Doctorate (e.g. PdD, EdD)",yes,Psychiatry Trainee,Agree,Agree,Agree,Agree,,Agree,Agree,Disagree,,Agree,,Disagree,Agree,Agree,Disagree,
01/02/2023 09:23:56,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,25-31 years old,Female,"Master's degree (e.g. MA, MS, MEd)",yes,Psychiatry Resident ,Agree,Agree,Agree,Not sure,,Agree,Agree,Agree,,Agree,,Not sure,Agree,Agree,Disagree,
02/02/2023 09:30:22,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,32-40 years old,Female,"Master's degree (e.g. MA, MS, MEd)",yes,Psychiatry trainee doctor since 2019,Agree,Agree,Agree,Agree,,Agree,Not sure,Disagree,,Agree,,Not sure,Agree,Agree,Not sure,
09/02/2023 16:32:23,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,32-40 years old,Female,"Master's degree (e.g. MA, MS, MEd)",yes,Palliative care doctor,Agree,Agree,Agree,Not sure,,Agree,Agree,Disagree,,Agree,,Disagree,Agree,Agree,Agree,
09/02/2023 18:11:33,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,50-60 years old,Female,"Bachelor's degree (e.g. BA, BS)",yes,paediatrician,Disagree,Agree,Agree,Not sure,,Agree,Agree,Agree,,Agree,,Not sure,Agree,Agree,Disagree,
10/02/2023 23:14:10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,32-40 years old,Female,"Master's degree (e.g. MA, MS, MEd)",yes,I did 6 weeks of posting in psychiatric hospital during my internship.,Agree,Agree,Agree,Not sure,,Agree,Agree,Not sure,,Agree,,Not sure,Agree,Not sure,Agree,
11/02/2023 08:58:32,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,32-40 years old,Male,"Master's degree (e.g. MA, MS, MEd)",yes,Consultant Anaesthetics and Intensive Care in the NHS,Disagree,Agree,Agree,Agree,,Agree,Agree,Agree,,Agree,,Not sure,Agree,Agree,Not sure,
